Neighborhood,Neighborhood_Latitude,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
A.C. Guards,17.39694444,78.45694444,DineHill,17.405255858379928,78.4516736049954,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Paradise Restaurant,17.40360173463145,78.45284817831494,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Prince Hotel,17.394735873177506,78.44241019589802,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Sandarshini,17.405330330786924,78.45165618403848,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Al-humdulillah Hotel,17.390728238550555,78.46299202576266,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Sarvi,17.41269784920106,78.4497038615383,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Hyderabad House,17.402774572546235,78.4569915727618,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Kamat Hotel,17.404329985157272,78.46760188735026,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Paradise Food Court,17.41211296764659,78.46544328325052,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Bikanervala,17.4107930193358,78.44979337882813,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Silver Salt,17.409689844696395,78.44966875077641,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Shahji Ka Dhaba,17.403350084877214,78.46192629114414,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Tabla - The Food Beat,17.412148325321816,78.44976126249978,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Paradise Take Away,17.404986502992987,78.45584806071344,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Bowl O China,17.4061015823022,78.45558160946688,Chinese Restaurant
A.C. Guards,17.39694444,78.45694444,Basra Pride,17.40496747384185,78.45173717993192,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,The Chai,17.405365194250468,78.45139601336027,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Hotel Fishland,17.40573232639999,78.46255907243965,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Green Bawarchi Restaurant,17.406461978729336,78.46124909980267,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Hotel Venkateswara,17.404563144898017,78.46471827033879,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Hotel Ashoka,17.403873310084897,78.46555085373726,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Blue Diamond,17.399272381561246,78.4747498932791,Chinese Restaurant
A.C. Guards,17.39694444,78.45694444,Just Parantha,17.408121285344333,78.44748143780596,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Mughal Restaurant,17.40665687194671,78.4642242676478,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Viranchi Hospitals,17.408222,78.45156,Hospital
A.C. Guards,17.39694444,78.45694444,Hotel Pakwaan,17.406289334113534,78.46674976190762,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Neoretina Eyecare Institute,17.397756437809416,78.47079042281248,Hospital
A.C. Guards,17.39694444,78.45694444,Akbar Fast Food Restaurant,17.394486150496043,78.44245247493107,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Astoria Restaurant,17.40641344785369,78.4679708576128,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Sheesha,17.409877044915934,78.44976285190229,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Kebab-E-Bahar,17.409934447200218,78.44884238254423,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,A la Liberty,17.407468764306813,78.4443370117286,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Liberty,17.407554001928226,78.444267,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Care Hospitals,17.412716221086537,78.45032460645284,Hospital
A.C. Guards,17.39694444,78.45694444,Elbit Medical Diagnostics Limited,17.407226198645777,78.44527074697908,Medical Center
A.C. Guards,17.39694444,78.45694444,Tabla fine Dining Bar,17.41195694934838,78.44991380497363,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Tewari Bros Mithaiwala,17.413588753146776,78.45999461873947,Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Stork Home Fernandez Hospital,17.406847,78.441505,Hospital
A.C. Guards,17.39694444,78.45694444,Reliance Fresh,17.413095116599756,78.44920322554803,Convenience Store
A.C. Guards,17.39694444,78.45694444,Ratnadeep Supermarket,17.407792550147118,78.44290944341253,Grocery Store
A.C. Guards,17.39694444,78.45694444,Vidyaranya School,17.407415098162353,78.46998008330796,High School
A.C. Guards,17.39694444,78.45694444,Rayalaseema Ruchulu,17.403083780222655,78.46301186941695,South Indian Restaurant
A.C. Guards,17.39694444,78.45694444,Chicha's,17.40325495743855,78.46015157913072,Hyderabadi Restaurant
A.C. Guards,17.39694444,78.45694444,Shahi Dastarkhwan,17.40263998359257,78.46139897040429,Hyderabadi Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Kebabs & Kurries,18.997937687421697,72.83763946175854,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Madira Bar and Restaurant,18.998864800668567,72.83956886268894,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,7 Spice - Chinese Restaurant,18.995603027509095,72.83906022381811,Chinese Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Aditi NX Veg. Restaurant,19.002896699760132,72.84134210073753,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Zaffran,19.00096040092635,72.82967025543715,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Akshay Restaurant,18.996522919775614,72.83961921311082,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Jai Hind Lunch Home,19.002182526961953,72.82951152511662,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Global Hospitals,18.99929415563421,72.8407346988817,Hospital
Abhyudaya Nagar,18.99137778,72.84416389,"Shanghai Club, ITC Grand Central",18.998104713224002,72.83761709562214,Chinese Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,China Land,18.99787719821056,72.82719012504167,Chinese Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Sahyadri Upahar Gruha (Hotel),19.00182697295629,72.84076739409437,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,KEM Hospital,19.00264397391697,72.8412751306918,Hospital
Abhyudaya Nagar,18.99137778,72.84416389,Seth GS Medical College & KEM Hospital,19.00228537906406,72.84210195639147,Medical School
Abhyudaya Nagar,18.99137778,72.84416389,national chemist,19.003799299002726,72.84181171480833,Pharmacy
Abhyudaya Nagar,18.99137778,72.84416389,Status,18.997145939504875,72.8305459332602,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Shobhaa Vegetarian,18.983747734188963,72.83553418361042,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,SpiceKlub,18.99428239888667,72.82566526475424,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Tata Memorial Hospital,19.004708255708742,72.84286853202218,Hospital
Abhyudaya Nagar,18.99137778,72.84416389,Flavours of China,19.004001569343583,72.83898453788157,Chinese Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Modern Lunch Home (Parel),19.00490732142673,72.84035197245417,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Tata Memorial Centre,19.005103729353593,72.84026905898314,Hospital
Abhyudaya Nagar,18.99137778,72.84416389,Parel Hospital,19.00576416659502,72.8450658124881,Hospital
Abhyudaya Nagar,18.99137778,72.84416389,Kirti Mahal,19.00590079523186,72.83980384559416,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,The Social Service League,19.00615719794278,72.8383844797799,School
Abhyudaya Nagar,18.99137778,72.84416389,St. Paul's School,19.00712672527771,72.84354070002342,School
Abhyudaya Nagar,18.99137778,72.84416389,Kitchen Square,19.000651179630825,72.83031961320667,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Shubha Bhojanalaya,18.995799087897293,72.82761522029743,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Tibbs Frankie,18.995778277976292,72.82754856101361,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Shang Dynasty,18.99746598505867,72.82736391924969,Chinese Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Jaihind Lunch home,19.001356814838342,72.82933727087224,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Shree Krishna Pure Veg,19.001860588771915,72.82950040474537,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Hotel shantidoot,19.008530354688,72.84105588092739,Indian Restaurant
Abhyudaya Nagar,18.99137778,72.84416389,Udupi Shree Krishna,19.00229847628936,72.8296026912183,Indian Restaurant
